Customer,Site Name,Contact Name,Phone Number,Mobile Number,Fax Number,Email Address,Address Street,Address City,Address Region,Address Postal Code,Address Country,Custom 1,Custom 2,Custom 3,Custom 4,Archived
Awthentic Construction,"5 Harwood St, Brighton",Wen,0401 828 238,,,"awthenticconstruction@gmail.com",5 Harwood Street,Brighton,Victoria,3186,Australia,,,,,No
Baker Roofing,9 Southey Street Sandringham,,,,,,,,,,,,,,,No
Barpa Construction Services,Baroona Youth Healing Place,Finlay Hands,,0498 658 886,,"finlay.hands@barpa.com.au",782 Murray Valley Highway,Echuca,Victoria,3564,Australia,,,,,No
Barpa Construction Services,Kilmore SES,,,,,,114 Powlett Street,Kilmore,Victoria,3764,Australia,,,,,No
Barpa Construction Services,VICSES Footscray,Finlay Hands,,0498 658 886,,"Finlay.Hands@barpa.com.au",69 Hampstead Road,Maidstone,Victoria,3012,Australia,,,,,No
Barrina Gardens,Unit 1,Sue ( daughter of owners ),,0422 835 975,,"suerindip@gmail.com",1/26 Barrina Street,Blackburn South,Victoria,3130,Australia,,,,,No
Barrina Gardens,Unit 23,,,,,,23/26 Barrina Street,Blackburn South,Victoria,3130,Australia,,,,,No
Barrina Gardens,Unit 24,,,,,,24/26 Barrina Street,Blackburn South,Victoria,3130,Australia,,,,,No
Barrina Gardens,Unit 42,,,,,,42/26 Barrina Street,Blackburn South,Victoria,3130,Australia,,,,,No
Barrina Gardens,Unit 6,,,,,,6/26 Barrina Street,Blackburn South,Victoria,3130,Australia,,,,,No
Barry Plant,Croydon,,03 9725 9855,,,,44 Main Street,Croydon,Victoria,3136,Australia,,,,,No
Barry Plant,Yarra Glen,,,,,,22 Bell Street Service Road,Yarra Glen,Victoria,3775,Australia,,,,,No
Basis Group,CFA Alexandra,Ying Xu,,0411 553 479,,"Ying.x@basis-group.com.au",2 Shamrock Street,Alexandra,Victoria,3714,Australia,,Email,8/20,"08/13 - RS",No
BCS Melbourne,288 Richardson Street,John Newbold,,0412 200 822,,,288 Richardson Street,Middle Park,Victoria,3206,Australia,,,,,No
Beaumaris Motor Yacht Squadron,Beaumaris Motor Yacht Squadron,,,,,,1 Pelican Quays,Beaumaris,Victoria,3193,Australia,"alex@bmys.com.au",BDM,,"01/23 - AR",No
Beaumont Tiles,135 Atlas Boulevard,,,,,,135 Atlas Boulevard,Dandenong South,Victoria,3175,Australia,,,,,No
Beaumont Tiles,"965 Taylors Road, Dandenong South",,,,,,,,,,,,,,,No
Belle Property Mount Waverley,50/1 Baird Street Mulgrave,,,,,,50/1 Baird Street,Mulgrave,Victoria,3170,Australia,,,,,No
Belle Property Mount Waverley,Unit 1/50 Baird Street Mulgrave,,,,,,50 Baird Street,Mulgrave,Victoria,3170,Australia,,,,,No
BHD Storage Solutions Victoria,Bayswater Job 1,,,,,,899 Mountain Highway,Bayswater,Victoria,3153,Australia,,,,,No
BHD Storage Solutions Victoria,"Fisher & Paykel - Trug",Luke Jackson,,0455 256 269,,"luke@bhdvic.com.au",Vulcan Drive,Truganina,Victoria,3029,Australia,,,,,No
Binks & Associates,10 Commercial Road,,,,,,10 Commercial Road,Mentone,Victoria,3194,Australia,,,,,No
Binks & Associates,18 Riversdale Road,Lachlan,,0403 478 709,,,18 Riversdale Road,Hawthorn,Victoria,3122,Australia,,,,,No
Binks & Associates,6 Wave Street,,,,,,6 Wave Street,Elwood,Victoria,3184,Australia,,,,,No
Binks & Associates,62 Warrigal Road,,,,,,62 Warrigal Road,Mentone,Victoria,3194,Australia,,,,,No
Binks & Associates,88 Grosvenor Street,,,,,,88 Grosvenor Street,Balaclava,Victoria,3183,Australia,,,,,No
Binks & Associates,956 Doncaster Road,,,,,,956 Doncaster Road,Doncaster East,Victoria,3109,Australia,,,,,No
Black Diamond Group,Black Diamond Group,Jake,,,,,42 Sette Circuit,Pakenham,Victoria,3810,Australia,,,,,No
Blair Hudson,19 Carinya rd vermont ,,,,,,,,,,,,,,,No
Blue Rock Construct,72 thorn,,,,,,72 Speight Street,Thornbury,Victoria,3071,Australia,,,,,No
BlueCross Aged Care,AUTUMNDALE,,,,,,13 Eagland Road,Cheltenham,Victoria,3192,Australia,,,,,No
BlueCross Aged Care,Broughtonlea,,,,,,"9-17 Broughton Road",Surrey Hills,Victoria,3127,Australia,,,,,No
BlueCross Aged Care,Gardenia,,,,,,87 Argyle Avenue,Chelsea,Victoria,3196,Australia,,,,,No
BlueCross Aged Care,Westgarth,,0461 514 755,,,"richardp@bluecross.com.au",121/127 Westgarth Street,Northcote,Victoria,3070,Australia,,,,,No
Boongalla Group,BOC Bayswater,,,,,,415 Dorset Road,Bayswater,Victoria,3153,Australia,,,,,No
Boongalla Group,Brunswick Private Hospital,Beks Vatandas,1300 859 629,0417 208 561,,"bvatandas@boongallagroup.com.au",82 Moreland Road,Brunswick,Victoria,3056,Australia,"bvatandas@boongallagroup.com.au",BDM,,,No
Boongalla Group,Coburg West Primary School,Jayden Stafford,1300 859 629,0484 666 887,,"jstafford@boongallagroup.com.au","185-187 Reynard Street",Coburg,Victoria,3058,Australia,,,,,No
Boongalla Group,Lilydale high School,,,,,,25 Melba Avenue,Lilydale,Victoria,3140,Australia,,,,,No
Boongalla Group,Orygen Parkville,,,,,,35 Poplar Road,Parkville,Victoria,3052,Australia,,,,,No
Boxhill Institute,"Box Hill Institute - Whitehorse Campus",Johan Bahari,(03) 9286 9356,0402 229 291,,"johan.bahari@boxhill.edu.au",,,,,,,,,,No
Boxhill Institute,"Box Hill Institute, Elgar Road, Box Hill VIC, Australia",,,,,,465 Elgar Road,Box Hill,Victoria,3128,Australia,,,,,No
Braestone Homes Pty Ltd,179 Flannery Court Warrandyte,Dino Mikolic,,0407 101 303,,"braestonehomes@bigpond.com",179 Flannery Court,Warrandyte,Victoria,3113,Australia,"braestonehomes@bigpond.com",Farbod,,,No
Braestone Homes Pty Ltd,20 Elgin Street Hawthorn ,,,,,,20 Elgin Street,Hawthorn,Victoria,3122,Australia,,,,,No
Braestone Homes Pty Ltd,404 Tooronga Road,,,,,,404 Tooronga Road,Hawthorn East,Victoria,3123,Australia,,,,,No
Braestone Homes Pty Ltd,6 Charles Street,Dino,,,,,6 Charles Street,Hawthorn,Victoria,3122,Australia,03/27,,,,No
"Brant - John Deere","Lilydale - John Deere",Travis,,0477 586 560,,,459 Maroondah Highway,Lilydale,Victoria,3140,Australia,,,,,No
Brian Price,"4/17 Myamyn Street, Armadale",,,,,,4/17 Myamyn Street,Armadale,Victoria,3143,Australia,,,,,No
Bronwen Conway,16 Arunga Drive,,,,,,16 Arunga Drive,Wonga Park,Victoria,3115,Australia,,,,,No
Brotherhood of St Laurence,"160 Gold St, Clifton Hill",,,,,,,,,,,,,,,No
Brotherhood of St Laurence,"27-35 Byron Street",,,,,,"27-35 Byron Street",Footscray,Victoria,3011,Australia,,,,,No
Brotherhood of St Laurence,Ace Hub,Alex Kakafikas,,0419 573 321,,"Alex.Kakafikas@bsl.org.au",2 Overton Road,Frankston,Victoria,3199,Australia,,,,"05/22 - FM",No
Brotherhood of St Laurence,Banksia Carrum Downs,Alex Kakafikas,,0419 573 321,,"Alex.Kakafikas@bsl.org.au",65 William Road,Carrum Downs,Victoria,3201,Australia,,,,"05/22 - FM",No
Brotherhood of St Laurence,Banksia Frankston,,,,,,12 Inglis Avenue,Frankston,Victoria,3199,Australia,,,,"05/22 - FM",No
Brotherhood of St Laurence,Palmer Street,Edward (Ned) Claridge,,0490 303 564,,"edward.claridge@bsl.org.au",74 Palmer Street,Fitzroy,Victoria,3065,Australia,,,,,No
Brotherhood of St Laurence,Royal Arcade,Sol Isaac,,0490 441 092,,"sol.isaac@bsl.org.au",Bourke Street Mall,Melbourne,Victoria,3004,Australia,,,,,No
BuildCare Facilities,Explorers Mt Cottrell,,,,,,55 Goodison Grove,Mount Cottrell,Victoria,3024,Australia,,,,,No
Buildcore Group,Lansdowne Street Public Toilets,,,,,,,,,,,,,,,No
Cam Ryan,"16 Beilby St, Bayswater",Cam Ryan,,0468 397 535,,"clrconstructing@gmail.com",16 Beilby Street,Bayswater,Victoria,3153,Australia,,,,"05/04 - RS",No
Capital Alliance,121 King Street,,,,,,121 King Street,Melbourne,Victoria,3000,Australia,,,,,No
Care Park,677 Siddeley Street,,,,,,677 Siddeley Street,Docklands,Victoria,3008,Australia,,,,,No
Carelli Constructions,Catholic Regional College,Zaid Qhadir,,,,,,,,,,,,,,No
Carelli Constructions,Ilim College Doveton Campus,Zaid Qhadir,(03) 8555 0048,,,"zaid.q@carelliconstructions.com.au","25-35 Rowan Drive",Doveton,Victoria,3177,Australia,,,,,No
Carelli Constructions,St Carlo Actus CPS,,,,,,58 Jardin Road,Wollert,Victoria,3750,Australia,,,,,No
Carly Test,AMPG Services,Carly Bullock,,,,"carly@apmgservices.com.au",,,,,,,,,,No
Carmel Spano,Eltham,,,,,,,Eltham,Victoria,3095,Australia,,,,,No
Carol Marriott,"5/164-166 Mt Dandenong Rd, Croydon",Jimmy Kang,03 9725 0000,0419 510 680,,"JellisCraigManninghamMaroondah@email.propertyme.com","5/164-166 Mount Dandenong Road",Croydon,Victoria,3136,Australia,,,,,No
Catherine Loft,"34 Nolans Rd, Napoleons",,,,,,,,,,,,,,,No
CBC GROUP,"I-Med Frankston",Jason Wolk,,,,,19 Hastings Road,Frankston,Victoria,3199,Australia,,,,,No
CBC GROUP,"TK Maxx - Cranbourne",,,,,,125 High Street,Cranbourne,Victoria,3977,Australia,,,,,No
CBC GROUP,"TK Maxx - Werribee",Jason Wolk,,0401150304,,"j.wolk@cbcgroup.com.au",,,,,,,,,,No
CBC GROUP,TK Maxx Broadmeadows,Jason Wolk,1300 222 322,0401 150 304,,"j.wolk@cbcgroup.com.au","1099-1169 Pascoe Vale Road",Broadmeadows,Victoria,3047,Australia,,,,,No
CBRE,10 Wesley Court Burwood East,Karunarathne (He/Him) ANZ,,0458 746 363,,"Shermal.karunarathne@cbre.com",10 Wesley Court,Burwood East,Victoria,3151,Australia,,,,,No
CBRE,18 Harcourt Rd,,,,,,18 Harcourt Road,Altona,Victoria,3018,Australia,,,,,No
CBRE,"399 Palmers Rd, Truganina",,,,,,399 Palmers Road,Truganina,Victoria,3029,Australia,,,,,No
CBRE,"495 Blackburn Rd, Mount Waverley VIC 3149",,,,,,495 Blackburn Road,Glen Waverley,Victoria,3150,Australia,,,,,No
CBRE,55 Southbank,,,,,,55 Southbank Boulevard,Southbank,Victoria,3006,Australia,,,,,No
CBRE,"627 Chapel street, South Yarra,",,,,,,627 Chapel Street,South Yarra,Victoria,3141,Australia,,,,,No
CBRE,85 Buckhurst Street,,,,,,85 Buckhurst Street,South Melbourne,Victoria,3205,Australia,,,,,No
CBRE,"Bank of America, Collins Street",Rhys Speck,,"+61 447 149 329",,"Rhys.Speck@cbre.com.au",l19/120 Collins Street,Melbourne,Victoria,3000,Australia,,,,,No
CBRE,Bank of China,,,,,,"219-225 Swanston Street",Melbourne,Victoria,3000,Australia,,,,,No
CBRE,"Canva - Collingwood",,,,,,,,,,,,,,,No
CBRE,Canva Head office,,,,,,30 Rupert Street,Collingwood,Victoria,3066,Australia,,,,,No
CBRE,CSF 105 Camberwell Road,Penny Simas,,0400 751 567,,"Penny.Simas@cbre.com.au",105 Camberwell Road,Hawthorn East,Victoria,3123,Australia,,,,,No
CBRE,DXC Technology,Rhys Speck,,0447 149 329,,"rhys.speck@cbre.com.au",4 Wesley Court,Burwood East,Victoria,3151,Australia,,,,,No
CBRE,"ExxonMobil - Altona North",,,,,,"420-438 Kororoit Creek Road",Altona North,Victoria,3025,Australia,,,,,No
CBRE,"Genesis - Ringwood Private Hospital",Jane Davidson,,0458 684 159,,"Jane.davidson@cbre.com",36 Mount Dandenong Road,Ringwood East,Victoria,3135,Australia,,,,,No
CBRE,Genesis – St.Vincents.,,,,,,41 Victoria Parade,Fitzroy,Victoria,3065,Australia,,,,,No
CBRE,Genesis Epping,,,,,,230 Cooper Street,Epping,Victoria,3076,Australia,,,,,No
CBRE,Honeywell,,,,,,,,,,,,,,,No
CBRE,IKEA Richmond,Carlton,(03) 8523 2154,0427 510 449,,,630 Victoria Street,Richmond,Victoria,3121,Australia,,,,,No
CBRE,Ikea Springvale,,,,,,917 Princes Highway,Springvale,Victoria,3171,Australia,,,,,No
CBRE,Ilumina Biotech,,1800 775 688,,,,level 3/535 Elizabeth Street,Melbourne,Victoria,3000,Australia,,,,,No
CBRE,"Level 19, 360 Collins Street,  Melbourne, VIC 3000, Australia",,,,,,,,,,,,,,,No
CBRE,"Level 19/120 Collins Street, Melbourne",,,,,,level 19/120 Collins Street,Melbourne,Victoria,3000,Australia,,,,,No
CBRE,Linacre Private Hospital,Tom Carcary,,0402 081 008,,"Tom.Carcary@cbre.com",12 Linacre Road,Hampton,Victoria,3188,Australia,,,,,No
CBRE,Loading Bay of MEL01A,,,,,,,,,,,,,,,No
CBRE,Mobil Yarraville Terminal,Joseph Jatico,,0428 159 833,,"joseph.jatico@exxonmobil.com",29 Francis Street,Spotswood,Victoria,3015,Australia,,,,,No
CBRE,On Store Melbourne Emporium,,,,,,287 Lonsdale Street,Melbourne,Victoria,3000,Australia,,,,,No
CBRE,Peninsula Private Hospital,Rhys Speck,,0447 149 329,,"rhys.speck@cbre.com.au",525 McClelland Drive,Langwarrin,Victoria,3910,Australia,,,,,No
CBRE,See outside Bank of China,Jane Davidson,,0458 684 159,,"Jane.davidson@cbre.com","219-225 Swanston Street",Melbourne,Victoria,3000,Australia,,,,,No
CBRE,SGS,"Rhian Manfre - POC",0428 632 158,,,,10/585 Blackburn Road,Notting Hill,Victoria,3168,Australia,,,,,No
CBRE,Siemens Bayswater,Rhys Speck,,0447 149 329,,"Rhys.Speck@cbre.com.au",885 Mountain Highway,Bayswater,Victoria,3153,Australia,,,,,No
CBRE,SS&C,Mohammad Chowdhury,0477 978 058,,,,800 Bourke Street,Docklands,Victoria,3008,Australia,,,,,No
CBRE,Stack Infrastructure,Rhys Speck,,0447 149 329,,"rhys.speck@cbre.com.au",,,,,,,,,,No
CBRE,West Melbourne,,,,,,,,,,,,,,,No
CBRE,WPP,Thiagu,,0455288104,,,380 Saint Kilda Road,St Kilda,Victoria,3182,Australia,,,,,No
CBRE,WPP (1),Pam Carvalho,,0458 759 784,,"Jane.davidson@cbre.com",2 Freshwater Place,Southbank,Victoria,3006,Australia,,,,,No
CDN Constructors Pty Ltd,"100 Caroline St, South Yarra",,,,,,100 Caroline Street,South Yarra,Victoria,3141,Australia,,,,,No
CDR Group,"Pickle Street, Port Melbourne",,,,,,129 Pickles Street,Port Melbourne,Victoria,3207,Australia,,,,,No
Centro Concepts,Punthill Flinders Lane,,,,,,267 Flinders Lane,Melbourne,Victoria,3000,Australia,,,,,No
Centro Concepts,Quest Pahran,,,,,,9 Balmoral Street,South Yarra,Victoria,3141,Australia,,,,,No
Centro Concepts,Quest Sanctuary Lakes,,,,,,9 Greg Norman Drive,Point Cook,Victoria,3030,Australia,,,,,No
Centro Concepts,Quest St Kilda Road,Patrick Ryan,,0409 666 982,,"patrick.ryan@centroconcepts.com",478 Saint Kilda Road,Melbourne,Victoria,3004,Australia,,,,,No
Choklits Child Care,Croydon,,,,,,374 Maroondah Highway,Croydon,Victoria,3136,Australia,,,,,No
Choklits Child Care,Surrey Hills,Dominic Barker,,0413 814 082,,,764 Canterbury Road,Surrey Hills,Victoria,3127,Australia,,,,,No
Chris Brooke,"1/4 Deavey Court, Altona",,,,,,,,,,,,,,,No
Chris Brooke,"24 Chauvel St, Reservoir",,,,,,24 Chauvel Street,Reservoir,Victoria,3073,Australia,,,,,No
Chris Brooke,"8 Laverton St, Williamstown",,,,,,8 Laverton Street,Williamstown,Victoria,3016,Australia,,,,,No
Chris Brooke,"9 Tussock Link, Wyndham",,,,,,9 Tussock Link,Wyndham Vale,Victoria,3024,Australia,,,,,No
Chris Brooke,Glen Orden Reserve,,,,,,"53-57 Kookaburra Avenue",Werribee,Victoria,3030,Australia,,,,,No
Chris Norbury,Erowal,Chris Norbury,0459 454 172,0459 454 172,,"chris.norbury@city-holdings.com.au",23 Erowal Street,Beaumaris,Victoria,3192,Australia,,,05/30,,No
Christine Durham,27 de Blonay Crescent,,,,,,27 De Blonay Crescent,Greensborough,Victoria,3088,Australia,,,,,No
City Integrated Maintenance Services (Aus) Pty Ltd,10 Nexus Court Mulgrave,,,,,,10 Nexus Court,Mulgrave,Victoria,3170,Australia,,,,,No
